author,comment,likes,published
@Nunung-r7k,Proyek. MBG.  Proyek. Mudah. Kurupsi ...,1,2025-09-21T23:17:26Z
@Bonbonart182,makan beracun gratis?,1,2025-09-21T02:15:51Z
@suprayektiprawirosudarmo5056,"Mohon yang belum dibayar, bayarlah. Kasihan catering Kalibata. Juga coba periksa siswa banyak keracunan. Kasihan.",3,2025-09-19T22:31:10Z
@adenugroz5992,Semoga Makan bergizi kedepan nya bisa 1 sekolah 1 dapur . .byr terkontrol,0,2025-09-19T13:56:36Z
@Safiramart52,"Tolong pa program MBG dikaji lagi klo bisa diganti aja,. Sy sebagai orang tua tiap hari was was anak saya makan MBG keracunan apa tidak, hampir tiap hari makanan yg disajikan sudah ada yg basi..ini  sangat mubazir dan berbahaya buat anak.",0,2025-09-19T10:35:20Z
@MamaaimYaya,Mbg kadang menunya astagfirullah,0,2025-09-18T04:17:48Z
@chika-he7gs,"Bingung ya bagi2 proyek BGN😂😂, banyak yg minta jatah proyek, indikasi bagi2 proyek 🎉🎉🎉",0,2025-09-17T10:55:17Z
@najibkasim,"lebih baiknya pak uang di beri ke org tuanya , org tuanya tau selera anaknya",0,2025-09-16T21:23:54Z
@najibkasim,"apakah yg dinamakan makanan gratis di beri nasi dgn tempeh ituka dinamakan makanan bergisi makanan hanya di buang pak, hanya memberi ke untungan pejabat, hanya membodohi masyarakat,",0,2025-09-16T21:22:20Z
@yatisupri4451,Saran saya MBG ke daerah pelosok pak,0,2025-09-16T05:55:12Z
@ridwanyusup-q4p,Jangan sampai bikin yayasan siluman untuk menampung dana untuk kepentingan orang tertentu dan anggaran habis masyarakan tetap miskin dan kurang gizi...,1,2025-09-15T08:39:31Z
@dadanggunawan1290,"Dipotong yayasan pendukung Prabowo dipilpres, Rp 2500 /porsi ,udah diduga korufsinya nyasar sampai kebawah,",1,2025-09-14T17:01:03Z
@sabillirosyadi8251,Smg mbg berlanjut terus sampe kpnpun...didaerah kami sungguh sangat sangat di nantikan program mbg tsb...sungguh sangat mmbantu apalagi sekolah kami di lingkup ponpes yg jarang2 mkn enak...terimakasih bnyk bpk prabowo...,0,2025-09-14T05:34:05Z
@uriantokeckembangbahu6737,"Mohon ijin pak kepala BGN, sebelum bahas yg lain lain, bahas dulu bagaimana caranya agar honor (gaji) ahli gizi SPPG MBG di kabupaten Lamongan yg sudah bekerja 4 bulan lebih segera bisa dibayarkan. Kasihan mereka2 ngutang terus untuk sangu kerja.",0,2025-09-14T00:34:00Z
@friedpeco9363,"kebijakan populis, tidak efektif",0,2025-09-13T17:43:58Z
@Zeax._V4MP_yt,Bgn gak pernah ngontrol pelaksanaan MBG. Dan ini sangat membuka peluang lkorupsi baru.,0,2025-09-13T16:16:47Z
@Rusmiati-j4y,Pak Prof Dadan H. Percepatan di pembangunan  gedung dapur mbg di kab Tangerang .  Kerja keras pusat dan daerah dukungan DPRD di kondisikan trima kasih Mas Helmy yahya.,0,2025-09-13T15:50:09Z
